timestamp,event_type,gpu_id,availability_duration
0,add,node1,4384.338
0,add,node2,5012.662
0,add,node3,254.484
0,add,node4,1330.54
0,add,node5,6606.755
0,add,node6,9742.914
0,add,node7,2397.654
0,add,node8,11848.793
0,add,node9,7220.676
0,add,node10,1469.918
0,add,node11,4815.497
0,add,node12,2782.7
0,add,node13,1408.865
0,add,node14,8509.41
0,add,node15,16971.267
0,add,node16,1796.643
0,add,node17,675.229
0,add,node18,5427.393
254484,remove,node3,254.484
675229,remove,node17,675.229
1140000,add,node3,254.484
1140000,add,node17,675.229
1140000,add,node19,410.829
1140000,add,node20,1078.659
1320000,add,node21,4431.513
1320000,add,node22,5112.476
1320000,add,node23,7463.662
1320000,add,node24,4672.406
1320000,add,node25,12791.206
1320000,add,node26,9043.4
1320000,add,node27,3240.612
1320000,add,node28,2827.308
1320000,add,node29,15578.053
1320000,add,node30,2708.805
1320000,add,node31,10733.242
1320000,add,node32,9639.579
1320000,add,node33,4628.733
1320000,add,node34,13314.088
1320000,add,node35,776.276
1320000,add,node36,818.598
1320000,add,node37,6873.144
1320000,add,node38,11713.204
1320000,add,node39,1240.656
1320000,add,node40,2140.044
1320000,add,node41,6405.466
1320000,add,node42,1276.242
1320000,add,node43,6870.856
1320000,add,node44,4075.084
1320000,add,node45,6533.516
1320000,add,node46,4441.317
1320000,add,node47,371.661
1320000,add,node48,1731.079
1320000,add,node49,5068.222
1320000,add,node50,949.081
1320000,add,node51,4207.46
1320000,add,node52,1079.704
1320000,add,node53,443.889
1320000,add,node54,1381.514
1320000,add,node55,3616.127
1320000,add,node56,11191.37
1320000,add,node57,15245.1
1320000,add,node58,3976.433
1320000,add,node59,3802.434
1320000,add,node60,5885.462
1320000,add,node61,2545.887
1320000,add,node62,927.889
1320000,add,node63,430.857
1320000,add,node64,5890.685
1320000,add,node65,9154.035
1320000,add,node66,6371.063
1320000,add,node67,6093.656
1320000,add,node68,3443.857
1320000,add,node69,6164.784
1320000,add,node70,1616.898
1320000,add,node71,6214.356
1320000,add,node72,4531.716
1330540,remove,node4,1330.54
1408865,remove,node13,1408.865
1469918,remove,node10,1469.918
1550829,remove,node19,410.829
1691661,remove,node47,371.661
1750857,remove,node63,430.857
1763889,remove,node53,443.889
1796643,remove,node16,1796.643
2096276,remove,node35,776.276
2138598,remove,node36,818.598
2218659,remove,node20,1078.659
2247889,remove,node62,927.889
2269081,remove,node50,949.081
2397654,remove,node7,2397.654
2399704,remove,node52,1079.704
2520000,add,node4,1330.54
2560656,remove,node39,1240.656
2596242,remove,node42,1276.242
2701514,remove,node54,1381.514
2782700,remove,node12,2782.7
2936898,remove,node70,1616.898
3051079,remove,node48,1731.079
3460044,remove,node40,2140.044
3540000,add,node7,2397.654
3540000,add,node10,1469.918
3540000,add,node12,2782.7
3540000,add,node13,1408.865
3540000,add,node16,1796.643
3540000,add,node19,410.829
3540000,add,node20,1078.659
3540000,add,node35,776.276
3540000,add,node36,818.598
3540000,add,node39,1240.656
3540000,add,node40,2140.044
3540000,add,node42,1276.242
3668577,remove,node42,1276.242
3865887,remove,node61,2545.887
3948408,remove,node19,410.829
4028805,remove,node30,2708.805
4147308,remove,node28,2827.308
4189439,remove,node35,776.276
4384338,remove,node1,4384.338
4560612,remove,node27,3240.612
4763857,remove,node68,3443.857
4815497,remove,node11,4815.497
4936127,remove,node55,3616.127
5012662,remove,node2,5012.662
5100000,add,node1,4384.338
5100000,add,node2,5012.662
5100000,add,node11,4815.497
5100000,add,node19,410.829
5100000,add,node27,3240.612
5113645,remove,node12,2782.7
5122434,remove,node59,3802.434
5296433,remove,node58,3976.433
5300001,remove,node16,1796.643
5395084,remove,node44,4075.084
5427393,remove,node18,5427.393
5527460,remove,node51,4207.46
5540538,remove,node17,675.229
5580000,add,node12,2782.7
5580000,add,node16,1796.643
5580000,add,node17,675.229
5700000,add,node18,5427.393
5700000,add,node28,2827.308
5700000,add,node30,2708.805
5700000,add,node35,776.276
5700000,add,node42,1276.242
5700000,add,node44,4075.084
5700000,add,node47,371.661
5700000,add,node48,1731.079
5700000,add,node50,949.081
5700000,add,node51,4207.46
5700000,add,node52,1079.704
5700000,add,node53,443.889
5700000,add,node54,1381.514
5700000,add,node55,3616.127
5700000,add,node58,3976.433
5700000,add,node59,3802.434
5700000,add,node61,2545.887
5700000,add,node62,927.889
5700000,add,node63,430.857
5700000,add,node68,3443.857
5700000,add,node70,1616.898
5700000,add,node73,2871.793
5700000,add,node74,2820.965
5700000,add,node75,1510.375
5700000,add,node76,21354.975
5700000,add,node77,212.744
5700000,add,node78,4743.372
5700000,add,node79,4894.849
5700000,add,node80,609.466
5751513,remove,node21,4431.513
5761317,remove,node46,4441.317
5851716,remove,node72,4531.716
5871733,remove,node13,1408.865
5912744,remove,node77,212.744
5948733,remove,node33,4628.733
5992406,remove,node24,4672.406
6309466,remove,node80,609.466
6388222,remove,node49,5068.222
6432476,remove,node22,5112.476
6551528,remove,node40,2140.044
6606755,remove,node5,6606.755
6729043,remove,node17,675.229
7205462,remove,node60,5885.462
7210375,remove,node75,1510.375
7210685,remove,node64,5890.685
7220676,remove,node9,7220.676
7248076,remove,node53,443.889
7413656,remove,node67,6093.656
7484784,remove,node69,6164.784
7534356,remove,node71,6214.356
7544492,remove,node48,1731.079
7554487,remove,node62,927.889
7620000,add,node5,6606.755
7620000,add,node9,7220.676
7691063,remove,node66,6371.063
7712728,remove,node7,2397.654
7725466,remove,node41,6405.466
7747225,remove,node3,254.484
7798647,remove,node27,3240.612
7825683,remove,node16,1796.643
7853516,remove,node45,6533.516
