timestamp,event_type,gpu_id,availability_duration
0,add,node1,5199.518
0,add,node2,6142.016
0,add,node3,56505.155
0,add,node4,71593.284
0,add,node5,75962.505
0,add,node6,15067.554
0,add,node7,16128.407
0,add,node8,2711.259
0,add,node9,27289.98
0,add,node10,5378.456
0,add,node11,68553.575
0,add,node12,14390.089
0,add,node13,10742.812
0,add,node14,2102.376
0,add,node15,10730.956
0,add,node16,33037.15
0,add,node17,9952.258
0,add,node18,22872.286
240000,add,node19,14389.553
240000,add,node20,4495.253
240000,add,node21,10539.631
240000,add,node22,23529.891
780000,add,node23,34116.497
1140000,add,node24,27016.837
1140000,add,node25,9270.931
1140000,add,node26,3933.196
1140000,add,node27,4112.913
1200000,add,node28,7610.9
1320000,add,node29,9895.109
1320000,add,node30,1822.143
1920000,add,node31,8551.049
1920000,add,node32,4729.729
2102376,remove,node14,2102.376
2711259,remove,node8,2711.259
3142143,remove,node30,1822.143
3300000,add,node8,2711.259
3300000,add,node14,2102.376
4735253,remove,node20,4495.253
5073196,remove,node26,3933.196
5199518,remove,node1,5199.518
5252913,remove,node27,4112.913
5340000,add,node1,5199.518
5340000,add,node20,4495.253
5378456,remove,node10,5378.456
5640000,add,node10,5378.456
6142016,remove,node2,6142.016
6649729,remove,node32,4729.729
7440000,add,node2,6142.016
7620000,add,node26,3933.196
7860000,add,node27,4112.913
8810900,remove,node28,7610.9
8883579,remove,node2,6142.016
9780000,add,node2,6142.016
9780000,add,node28,7610.9
9780000,add,node30,1822.143
9952258,remove,node17,9952.258
10410931,remove,node25,9270.931
10471049,remove,node31,8551.049
10620000,add,node17,9952.258
10620000,add,node25,9270.931
10620000,add,node31,8551.049
10704293,remove,node1,5199.518
10730956,remove,node15,10730.956
10742812,remove,node13,10742.812
10779631,remove,node21,10539.631
11215109,remove,node29,9895.109
11940000,add,node1,5199.518
11940000,add,node13,10742.812
12115785,remove,node10,5378.456
12240000,add,node10,5378.456
12720000,add,node15,10730.956
12720000,add,node21,10539.631
12720000,add,node29,9895.109
13860000,add,node32,4729.729
13860000,add,node33,33960.275
13860000,add,node34,13937.419
13860000,add,node35,9729.318
13860000,add,node36,13688.524
13860000,add,node37,13641.216
13860000,add,node38,12545.732
14390089,remove,node12,14390.089
14520000,add,node12,14390.089
14629553,remove,node19,14389.553
14792008,remove,node25,9270.931
15067554,remove,node6,15067.554
16128407,remove,node7,16128.407
18036257,remove,node13,10742.812
18420000,add,node6,15067.554
18420000,add,node7,16128.407
18420000,add,node13,10742.812
18420000,add,node19,14389.553
18420000,add,node25,9270.931
18430670,remove,node21,10539.631
19503395,remove,node27,4112.913
20009188,remove,node32,4729.729
20280000,add,node21,10539.631
20554257,remove,node17,9952.258
20564873,remove,node30,1822.143
20760000,add,node17,9952.258
20850708,remove,node1,5199.518
21960000,add,node1,5199.518
22066316,remove,node17,9952.258
22556826,remove,node31,8551.049
22816654,remove,node6,15067.554
22872286,remove,node18,22872.286
23280000,add,node6,15067.554
23589318,remove,node35,9729.318
23662636,remove,node7,16128.407
23769891,remove,node22,23529.891
24628302,remove,node19,14389.553
24660000,add,node7,16128.407
24911806,remove,node15,10730.956
25994142,remove,node21,10539.631
26405732,remove,node38,12545.732
27149774,remove,node6,15067.554
27289980,remove,node9,27289.98
27501216,remove,node37,13641.216
27540000,add,node6,15067.554
27540000,add,node9,27289.98
27540000,add,node15,10730.956
27540000,add,node17,9952.258
27548524,remove,node36,13688.524
27797419,remove,node34,13937.419
28156837,remove,node24,27016.837
29194278,remove,node25,9270.931
29201882,remove,node17,9952.258
29760000,add,node17,9952.258
30060000,add,node18,22872.286
30120000,add,node19,14389.553
30120000,add,node21,10539.631
30720000,add,node22,23529.891
30720000,add,node24,27016.837
30720000,add,node25,9270.931
30720000,add,node27,4112.913
30780000,add,node30,1822.143
30780000,add,node31,8551.049
31560000,add,node32,4729.729
31560000,add,node34,13937.419
31800000,add,node35,9729.318
31800000,add,node36,13688.524
32002911,remove,node9,27289.98
32043422,remove,node27,4112.913
32344021,remove,node14,2102.376
32520000,add,node9,27289.98
32776251,remove,node18,22872.286
32987911,remove,node7,16128.407
33037150,remove,node16,33037.15
33240000,add,node7,16128.407
33420000,add,node14,2102.376
33480000,add,node16,33037.15
33563883,remove,node30,1822.143
34815439,remove,node22,23529.891
34860000,add,node18,22872.286
34860000,add,node22,23529.891
34896497,remove,node23,34116.497
35396193,remove,node28,7610.9
35718945,remove,node17,9952.258
35824499,remove,node12,14390.089
36183641,remove,node2,6142.016
36219468,remove,node21,10539.631
37837185,remove,node8,2711.259
38567315,remove,node24,27016.837
38880000,add,node2,6142.016
38989097,remove,node34,13937.419
40061903,remove,node35,9729.318
40260000,add,node8,2711.259
40991052,remove,node32,4729.729
41760000,add,node12,14390.089
41760000,add,node17,9952.258
41760000,add,node21,10539.631
41760000,add,node23,34116.497
41760000,add,node24,27016.837
41908034,remove,node14,2102.376
42150932,remove,node6,15067.554
42960000,add,node6,15067.554
42960000,add,node14,2102.376
42960000,add,node27,4112.913
42960000,add,node28,7610.9
43355268,remove,node26,3933.196
43380000,add,node26,3933.196
44743406,remove,node18,22872.286
44760000,add,node18,22872.286
44760000,add,node30,1822.143
44760000,add,node32,4729.729
44760000,add,node34,13937.419
44760000,add,node35,9729.318
44802941,remove,node15,10730.956
45116810,remove,node10,5378.456
45291685,remove,node2,6142.016
46057030,remove,node17,9952.258
46620000,add,node2,6142.016
46620000,add,node10,5378.456
46620000,add,node15,10730.956
46920000,add,node17,9952.258
46920000,add,node37,13641.216
47100000,add,node38,12545.732
47520000,add,node39,7676.422
47640000,add,node40,61650.602
47820275,remove,node33,33960.275
47913948,remove,node6,15067.554
47914528,remove,node1,5199.518
48134068,remove,node7,16128.407
48269197,remove,node18,22872.286
48480000,add,node1,5199.518
48821291,remove,node14,2102.376
49076495,remove,node30,1822.143
49171887,remove,node19,14389.553
49361164,remove,node15,10730.956
49423337,remove,node38,12545.732
49560000,add,node6,15067.554
49560000,add,node7,16128.407
49560000,add,node14,2102.376
49882915,remove,node28,7610.9
50160000,add,node15,10730.956
50160000,add,node18,22872.286
50181701,remove,node20,4495.253
50580000,add,node19,14389.553
50880000,add,node20,4495.253
51010082,remove,node1,5199.518
51395954,remove,node32,4729.729
51674652,remove,node27,4112.913
51726274,remove,node22,23529.891
52260000,add,node1,5199.518
52287369,remove,node36,13688.524
52560000,add,node22,23529.891
52800000,add,node27,4112.913
52800000,add,node28,7610.9
52800000,add,node30,1822.143
52976076,remove,node37,13641.216
53847271,remove,node29,9895.109
53957380,remove,node2,6142.016
54060000,add,node2,6142.016
54060000,add,node29,9895.109
54060000,add,node32,4729.729
54360000,add,node33,33960.275
54900490,remove,node17,9952.258
55053863,remove,node7,16128.407
55196422,remove,node39,7676.422
55860000,add,node7,16128.407
55860000,add,node17,9952.258
55860000,add,node36,13688.524
55860000,add,node37,13641.216
55893722,remove,node27,4112.913
55920000,add,node27,4112.913
55920000,add,node38,12545.732
56340000,add,node39,7676.422
56505155,remove,node3,56505.155
56747635,remove,node27,4112.913
57154987,remove,node18,22872.286
57586109,remove,node32,4729.729
57861022,remove,node19,14389.553
58140000,add,node3,56505.155
58140000,add,node18,22872.286
58380000,add,node19,14389.553
59097189,remove,node12,14390.089
59220000,add,node12,14390.089
59220000,add,node27,4112.913
59220000,add,node32,4729.729
59551229,remove,node19,14389.553
60041467,remove,node23,34116.497
60237841,remove,node10,5378.456
60420000,add,node10,5378.456
60704297,remove,node6,15067.554
60896400,remove,node9,27289.98
61134392,remove,node30,1822.143
61573823,remove,node8,2711.259
61918779,remove,node33,33960.275
62427849,remove,node34,13937.419
62929399,remove,node31,8551.049
63412101,remove,node26,3933.196
63540000,add,node6,15067.554
64388922,remove,node3,56505.155
