timestamp,event_type,gpu_id
0,add,node1
0,add,node2
0,add,node3
0,add,node4
0,add,node5
0,add,node6
0,add,node7
0,add,node8
0,add,node9
0,add,node10
0,add,node11
0,add,node12
0,add,node13
0,add,node14
0,add,node15
0,add,node16
0,add,node17
0,add,node18
190429,remove,node11
240000,add,node11
300000,add,node19
483988,remove,node7
540000,add,node7
540000,add,node20
540000,add,node21
600000,add,node22
600000,add,node23
1136631,remove,node23
1213945,remove,node6
1214126,remove,node5
1408354,remove,node15
1420318,remove,node16
1641360,remove,node14
1860000,add,node5
1860000,add,node6
1860000,add,node14
1860000,add,node15
1860000,add,node16
1860000,add,node23
1923026,remove,node22
2084144,remove,node7
2160000,add,node7
2280000,add,node22
2280000,add,node24
2374998,remove,node17
2640000,add,node17
2640180,remove,node14
2820991,remove,node23
2980968,remove,node1
3208006,remove,node19
3300000,add,node1
3300000,add,node14
3300000,add,node19
3300000,add,node23
3300000,add,node25
3360000,add,node26
3480000,add,node27
3480000,add,node28
3480000,add,node29
3540000,add,node30
3540000,add,node31
3540000,add,node32
3660000,add,node33
4011950,remove,node23
4147939,remove,node30
4200000,add,node23
4200000,add,node30
4200000,add,node34
4238085,remove,node6
4260000,add,node6
4260000,add,node35
4260000,add,node36
4260000,add,node37
4440000,add,node38
4440000,add,node39
4440000,add,node40
4477077,remove,node18
4500000,add,node18
4500000,add,node41
4717264,remove,node22
4785377,remove,node36
4804151,remove,node30
4815953,remove,node25
4900543,remove,node20
5160000,add,node20
5160000,add,node22
5220000,add,node25
5363866,remove,node4
5395694,remove,node9
5454447,remove,node16
5498030,remove,node25
5640000,add,node4
5663519,remove,node28
5776864,remove,node11
5823722,remove,node21
6303171,remove,node27
6468803,remove,node26
6660000,add,node9
6691168,remove,node37
6704887,remove,node24
6859390,remove,node35
6984629,remove,node10
7038221,remove,node34
7260000,add,node10
7380000,add,node11
7411038,remove,node3
7886108,remove,node10
8100000,add,node3
8100000,add,node10
8160000,add,node16
8160000,add,node21
8160000,add,node24
8160000,add,node25
8160880,remove,node29
8220000,add,node26
8355160,remove,node40
8450047,remove,node15
8632326,remove,node22
8654072,remove,node14
8940000,add,node14
8940000,add,node15
8940000,add,node22
8940000,add,node27
9000000,add,node28
9012604,remove,node14
9180000,add,node14
9180000,add,node29
9399266,remove,node41
9614498,remove,node20
9701142,remove,node13
9938689,remove,node4
9951152,remove,node6
9969541,remove,node9
10329255,remove,node38
10650083,remove,node25
10656884,remove,node27
10740000,add,node4
10740000,add,node6
10740000,add,node9
10740000,add,node13
10740000,add,node20
10740000,add,node25
10771120,remove,node8
10915434,remove,node5
11040000,add,node5
11061035,remove,node20
11688169,remove,node26
11753932,remove,node32
12060000,add,node8
12063786,remove,node29
12315764,remove,node22
12360000,add,node20
12360000,add,node22
12360000,add,node26
12360000,add,node27
12360000,add,node29
12360000,add,node30
12360000,add,node32
12393006,remove,node23
12472879,remove,node18
12689546,remove,node4
12780000,add,node4
12780000,add,node18
12802270,remove,node16
12896918,remove,node33
12955320,remove,node13
12960000,add,node13
13087102,remove,node9
13191010,remove,node8
13204942,remove,node5
13262389,remove,node15
13311350,remove,node13
13320000,add,node5
13320000,add,node8
13440000,add,node9
13440000,add,node13
13477109,remove,node5
13505321,remove,node4
13680000,add,node4
13680000,add,node5
13680000,add,node15
13680000,add,node16
13680000,add,node23
13800000,add,node33
13800000,add,node34
14100000,add,node35
14198005,remove,node27
14232712,remove,node20
14577435,remove,node15
14751432,remove,node7
14756067,remove,node4
14791986,remove,node9
14846234,remove,node35
14916800,remove,node6
15060000,add,node4
15060000,add,node6
15060000,add,node7
15060000,add,node9
15202360,remove,node1
15280635,remove,node30
15375930,remove,node2
16015677,remove,node39
16020000,add,node1
16020000,add,node2
16020000,add,node15
16020000,add,node20
16078616,remove,node14
16246493,remove,node25
16366642,remove,node5
16578936,remove,node19
16699541,remove,node15
16980000,add,node5
16980000,add,node14
17037476,remove,node10
17073040,remove,node5
17191323,remove,node21
17276168,remove,node20
17460000,add,node5
17580600,remove,node12
17657086,remove,node8
17729090,remove,node6
17788386,remove,node14
17817217,remove,node7
17820000,add,node6
17820000,add,node7
18175507,remove,node32
18360000,add,node8
18626994,remove,node34
18710012,remove,node5
18759963,remove,node22
18960000,add,node5
18960000,add,node10
19061355,remove,node3
19320000,add,node3
19440000,add,node12
19553663,remove,node7
19680000,add,node7
19680000,add,node14
19680000,add,node15
19680000,add,node19
