timestamp,event_type,gpu_id,availability_duration
0,add,node1,1733.172
0,add,node2,2047.338
0,add,node3,18835.051
0,add,node4,23864.428
0,add,node5,25320.835
0,add,node6,5022.518
0,add,node7,5376.135
0,add,node8,903.753
0,add,node9,9096.66
0,add,node10,1792.818
0,add,node11,22851.191
0,add,node12,4796.696
0,add,node13,3580.937
0,add,node14,700.792
0,add,node15,3576.985
0,add,node16,11012.383
0,add,node17,3317.419
0,add,node18,7624.095
120000,add,node19,4796.517
120000,add,node20,1498.417
120000,add,node21,3513.21
120000,add,node22,7843.297
360000,add,node23,11372.165
540000,add,node24,9005.612
540000,add,node25,3090.31
540000,add,node26,1311.065
540000,add,node27,1370.971
600000,add,node28,2536.966
660000,add,node29,3298.369
660000,add,node30,607.381
700792,remove,node14,700.792
903753,remove,node8,903.753
960000,add,node8,903.753
960000,add,node14,700.792
1267381,remove,node30,607.381
1618417,remove,node20,1498.417
1620000,add,node20,1498.417
1620000,add,node30,607.381
1733172,remove,node1,1733.172
1792818,remove,node10,1792.818
1851065,remove,node26,1311.065
1910971,remove,node27,1370.971
2047338,remove,node2,2047.338
2536576,remove,node14,700.792
2640000,add,node1,1733.172
2640000,add,node2,2047.338
2760000,add,node10,1792.818
3136966,remove,node28,2536.966
3317419,remove,node17,3317.419
3576985,remove,node15,3576.985
3580937,remove,node13,3580.937
3630310,remove,node25,3090.31
3633210,remove,node21,3513.21
3660000,add,node13,3580.937
3720000,add,node14,700.792
3810349,remove,node8,903.753
3840000,add,node8,903.753
3958369,remove,node29,3298.369
4141193,remove,node13,3580.937
4428097,remove,node1,1733.172
4796696,remove,node12,4796.696
4800000,add,node1,1733.172
4800000,add,node12,4796.696
4800000,add,node13,3580.937
4916517,remove,node19,4796.517
4918595,remove,node10,1792.818
5022518,remove,node6,5022.518
5220000,add,node6,5022.518
5220000,add,node10,1792.818
5220000,add,node15,3576.985
5376135,remove,node7,5376.135
5880000,add,node7,5376.135
5880000,add,node17,3317.419
6060000,add,node19,4796.517
6300000,add,node21,3513.21
6300000,add,node25,3090.31
6300000,add,node26,1311.065
6610669,remove,node10,1792.818
6900000,add,node10,1792.818
6900000,add,node27,1370.971
6900000,add,node28,2536.966
6900000,add,node29,3298.369
6900000,add,node31,4562.841
6900000,add,node32,4547.072
6900000,add,node33,4181.91
