id,build_time_s
0,146
1,239
2,223
3,224
4,134
5,162
6,150
7,185
8,154
9,217
10,166
11,200
12,160
13,192
14,150
15,166
16,152
17,153
18,206
19,153
20,140
21,182
22,219
23,138
24,199
25,179
26,166
27,215
28,139
29,212
30,119
31,156
32,197
33,199
34,197
35,204
36,140
37,217
38,172
39,202
40,189
41,217
42,219
43,189
44,186
45,188
46,158
47,201
48,153
49,169
50,143
51,213
52,194
53,195
54,153
55,206
56,140
57,207
58,161
59,213
60,172
61,176
62,180
63,207
64,145
65,92
66,158
67,173
68,158
69,180
70,166
71,148
72,143
73,148
74,218
75,166
76,167
77,167
78,216
79,208
80,148
81,219
82,160
83,174
84,147
85,154
86,172
87,120
88,188
89,212
90,137
91,175
92,215
93,174
94,142
95,147
96,194
97,184
98,199
99,219
100,180
101,145
102,214
103,204
104,137
105,157
106,157
107,195
108,219
109,203
110,134
111,166
112,137
113,212
114,149
115,198
116,178
117,152
118,228
119,193
120,176
121,172
122,227
123,208
124,185
125,196
126,177
127,144
128,192
129,227
130,182
131,183
132,191
133,184
134,202
135,196
136,195
137,131
138,202
139,162
140,186
141,203
142,207
143,170
144,181
145,154
146,168
147,168
148,215
149,223
150,180
151,223
152,169
153,155
154,203
155,196
156,151
157,202
158,217
159,196shard_id
0,146
1,239
2,223
3,224
4,134
5,162
6,150
7,185
8,154
9,217
10,166
11,200
12,160
13,192
14,150
15,166
16,152
17,153
18,206
19,153
20,140
21,182
22,219
23,138
24,199
25,179
26,166
27,215
28,139
29,212
30,119
31,156
32,197
33,199
34,197
35,204
36,140
37,217
38,172
39,202
40,189
41,217
42,219
43,189
44,186
45,188
46,158
47,201
48,153
49,169
50,143
51,213
52,194
53,195
54,153
55,206
56,140
57,207
58,161
59,213
60,172
61,176
62,180
63,207
64,145
65,92
66,158
67,173
68,158
69,180
70,166
71,148
72,143
73,148
74,218
75,166
76,167
77,167
78,216
79,208
80,148
81,219
82,160
83,174
84,147
85,154
86,172
87,120
88,188
89,212
90,137
91,175
92,215
93,174
94,142
95,147
96,194
97,184
98,199
99,219
100,180
101,145
102,214
103,204
104,137
105,157
106,157
107,195
108,219
109,203
110,134
111,166
112,137
113,212
114,149
115,198
116,178
117,152
118,228
119,193
120,176
121,172
122,227
123,208
124,185
125,196
126,177
127,144
128,192
129,227
130,182
131,183
132,191
133,184
134,202
135,196
136,195
137,131
138,202
139,162
140,186
141,203
142,207
143,170
144,181
145,154
146,168
147,168
148,215
149,223
150,180
151,223
152,169
153,155
154,203
155,196
156,151
157,202
158,217
159,196
