timestamp,event_type,task_id,gpu_id,npts
2000,START,79,4,12182656
2000,START,23,4,7830895
2000,START,111,8,9482563
2000,START,146,8,9273510
2000,START,28,12,8253909
2000,START,64,12,8505899
2000,START,148,16,12548512
2000,START,56,16,7904790
24000,START,19,20,8845199
24000,START,0,20,8727197
114000,START,121,24,9666046
114000,START,14,24,8881830
120000,START,128,28,11603040
120000,START,87,28,7008169
140000,FINISH,23,4,7830895
141000,FINISH,28,12,8253909
142000,FINISH,56,16,7904790
147000,FINISH,64,12,8505899
147000,START,40,12,10950623
147000,START,105,12,9128248
168000,FINISH,111,8,9482563
170000,FINISH,146,8,9273510
170000,FINISH,0,20,8727197
170000,START,9,8,12357114
170000,START,137,8,7991280
177000,FINISH,19,20,8845199
177000,START,77,20,9582446
177000,START,68,20,9112263
192000,START,101,32,8108685
192000,START,46,32,9370337
210000,FINISH,79,4,12182656
210000,START,85,4,9168905
210000,START,91,4,9851823
217000,FINISH,148,16,12548512
217000,START,110,16,11339716
217000,START,17,16,8890203
240000,FINISH,87,28,7008169
264000,FINISH,14,24,8881830
272000,INTERRUPT,9,8,12357114
272000,INTERRUPT,137,8,7991280
286000,FINISH,121,24,9666046
286000,START,88,24,10707546
286000,START,145,24,8612527
304000,FINISH,105,12,9128248
312000,FINISH,128,28,11603040
312000,START,142,28,11494832
312000,START,5,28,8918796
330000,START,65,8,5389737
330000,START,106,8,9138707
335000,FINISH,68,20,9112263
336000,FINISH,40,12,10950623
336000,START,102,12,11503522
336000,START,95,12,7968444
337000,FINISH,101,32,8108685
344000,FINISH,77,20,9582446
344000,START,130,20,10445152
344000,START,31,20,9229031
350000,FINISH,46,32,9370337
350000,START,21,32,10766274
350000,START,127,32,8219772
351000,FINISH,110,16,11339716
364000,FINISH,85,4,9168905
370000,FINISH,17,16,8890203
370000,START,51,16,12546842
370000,START,4,16,7503288
385000,FINISH,91,4,9851823
385000,START,16,4,8986529
385000,START,25,4,10599782
422000,FINISH,65,8,5389737
440000,FINISH,145,24,8612527
474000,INTERRUPT,130,20,10445152
474000,INTERRUPT,31,20,9229031
474000,FINISH,88,24,10707546
474000,FINISH,5,28,8918796
474000,START,43,24,11034601
474000,START,112,24,8112870
483000,FINISH,95,12,7968444
487000,FINISH,106,8,9138707
487000,START,83,8,10262333
487000,START,49,8,9883644
494000,FINISH,127,32,8219772
504000,FINISH,4,16,7503288
519000,FINISH,142,28,11494832
519000,START,156,28,8713996
519000,START,94,28,8006598
532000,FINISH,21,32,10766274
532000,START,140,32,10731156
