timestamp,event_type,task_id,gpu_id,npts
0,START,100,4,9768686
0,START,106,4,9138707
0,START,145,8,8612527
0,START,141,8,11357884
0,START,128,12,11603040
0,START,114,12,8799665
0,START,108,16,12504656
0,START,56,16,7904790
0,START,110,20,11339716
0,START,101,20,8108685
0,START,119,24,11126549
0,START,71,24,8686886
0,START,12,28,9162886
0,START,44,28,11059932
0,START,148,32,12548512
0,START,4,32,7503288
0,START,24,36,11916176
0,START,65,36,5389737
0,START,135,40,11069821
0,START,19,40,8845199
0,START,62,44,10289301
0,START,146,44,9273510
0,START,67,48,10150364
0,START,8,48,9829585
0,START,122,52,12537303
0,START,23,52,7830895
0,START,87,56,7008169
0,START,120,56,10012880
92000,FINISH,65,36,5389737
120000,FINISH,87,56,7008169
134000,FINISH,110,20,11339716
134000,FINISH,4,32,7503288
138000,FINISH,23,52,7830895
140000,FINISH,56,16,7904790
145000,FINISH,101,20,8108685
145000,START,42,20,12542987
148000,FINISH,71,24,8686886
149000,FINISH,114,12,8799665
153000,FINISH,19,40,8845199
154000,FINISH,145,8,8612527
154000,FINISH,8,48,9829585
157000,FINISH,106,4,9138707
160000,FINISH,12,28,9162886
168000,FINISH,146,44,9273510
173000,FINISH,67,48,10150364
173000,START,6,48,8672705
173000,START,126,48,9869923
176000,FINISH,120,56,10012880
176000,START,118,56,12543115
180000,FINISH,100,4,9768686
180000,FINISH,62,44,10289301
180000,START,138,4,11140485
180000,START,84,4,8715480
180000,START,2,44,12542930
186000,FINISH,44,28,11059932
186000,START,153,28,9214886
186000,START,20,28,8145837
192000,FINISH,128,12,11603040
192000,START,36,12,8226717
192000,START,143,12,9207969
193000,FINISH,119,24,11126549
193000,START,28,24,8253909
193000,START,11,24,11607666
196000,FINISH,135,40,11069821
196000,START,57,40,11855743
196000,START,50,40,8159611
199000,FINISH,24,36,11916176
199000,START,72,36,10552608
199000,START,94,36,8006598
203000,FINISH,141,8,11357884
203000,START,17,8,8890203
203000,START,48,8,8531928
215000,FINISH,148,32,12548512
215000,START,10,32,9841451
215000,START,25,32,10599782
219000,FINISH,108,16,12504656
219000,START,88,16,10707546
219000,START,93,16,9397782
227000,FINISH,122,52,12537303
227000,START,147,52,9463677
227000,START,16,52,8986529
323000,FINISH,6,48,8672705
326000,FINISH,20,28,8145837
327000,FINISH,84,4,8715480
332000,FINISH,36,12,8226717
332000,FINISH,28,24,8253909
339000,FINISH,50,40,8159611
341000,FINISH,153,28,9214886
341000,FINISH,94,36,8006598
341000,START,83,28,10262333
341000,START,5,28,8918796
342000,FINISH,72,36,10552608
342000,START,27,36,12543491
350000,FINISH,126,48,9869923
350000,START,59,48,12546482
356000,FINISH,17,8,8890203
356000,FINISH,48,8,8531928
356000,START,26,8,9748148
356000,START,86,8,10027327
362000,FINISH,143,12,9207969
362000,START,21,12,10766274
362000,START,121,12,9666046
364000,FINISH,42,20,12542987
364000,START,13,20,11440466
364000,START,156,20,8713996
379000,FINISH,16,52,8986529
381000,FINISH,10,32,9841451
382000,FINISH,138,4,11140485
382000,START,7,4,11352458
382000,START,64,4,8505899
393000,FINISH,11,24,11607666
393000,FINISH,93,16,9397782
393000,START,34,24,11702256
393000,START,104,24,8010020
394000,FINISH,25,32,10599782
394000,START,157,32,11169272
394000,START,14,32,8881830
395000,FINISH,147,52,9463677
395000,START,38,52,9607806
395000,START,116,52,10181515
403000,FINISH,2,44,12542930
403000,FINISH,57,40,11855743
403000,START,1,40,12550781
403000,START,152,44,9764753
403000,START,85,44,9168905
404000,FINISH,118,56,12543115
404000,START,127,56,8219772
404000,START,68,56,9112263
407000,FINISH,88,16,10707546
407000,START,109,16,11329692
407000,START,117,16,9060298
503000,FINISH,5,28,8918796
515000,FINISH,83,28,10262333
515000,FINISH,156,20,8713996
515000,START,123,28,11619425
515000,START,95,28,7968444
522000,FINISH,26,8,9748148
527000,FINISH,64,4,8505899
528000,FINISH,86,8,10027327
528000,START,133,8,11415893
528000,START,80,8,8499342
530000,FINISH,104,24,8010020
534000,FINISH,121,12,9666046
544000,FINISH,21,12,10766274
544000,FINISH,14,32,8881830
544000,START,41,12,12265045
544000,START,137,12,7991280
548000,FINISH,127,56,8219772
556000,FINISH,13,20,11440466
556000,START,158,20,12326376
556000,START,112,20,8112870
