timestamp,event_type,task_id,gpu_id,npts
2000,START,53,4,11435672
2000,START,65,4,5389737
2000,START,121,8,9666046
2000,START,4,8,7503288
2000,START,84,12,8715480
2000,START,138,12,11140485
2000,START,129,16,12547717
2000,START,23,16,7830895
18000,START,132,20,11200626
18000,START,71,20,8686886
30000,START,6,24,8672705
30000,START,107,24,11412193
66000,START,144,28,10794100
66000,START,93,28,9397782
94000,FINISH,65,4,5389737
136000,FINISH,4,8,7503288
140000,FINISH,23,16,7830895
149000,FINISH,84,12,8715480
150000,START,9,32,12357114
150000,START,56,32,7904790
166000,FINISH,71,20,8686886
174000,FINISH,121,8,9666046
174000,START,111,8,9482563
174000,START,117,8,9060298
180000,FINISH,6,24,8672705
197000,FINISH,53,4,11435672
197000,START,22,4,12547620
197000,START,87,4,7008169
204000,FINISH,138,12,11140485
204000,START,127,12,8219772
204000,START,63,12,11697547
209000,FINISH,132,20,11200626
209000,START,33,20,11896061
209000,START,94,20,8006598
225000,FINISH,107,24,11412193
225000,START,52,24,11313061
225000,START,112,24,8112870
229000,FINISH,129,16,12547717
229000,START,124,16,10376612
229000,START,48,16,8531928
240000,FINISH,93,28,9397782
247000,FINISH,144,28,10794100
247000,START,28,28,8253909
247000,START,38,28,9607806
258000,START,70,36,9523927
258000,START,31,36,9229031
290000,FINISH,56,32,7904790
306000,INTERRUPT,28,28,8253909
306000,INTERRUPT,38,28,9607806
317000,FINISH,87,4,7008169
318000,INTERRUPT,33,20,11896061
318000,INTERRUPT,94,20,8006598
326000,FINISH,117,8,9060298
340000,FINISH,111,8,9482563
340000,START,28,8,8253909
340000,START,33,8,11896061
342000,INTERRUPT,52,24,11313061
342000,INTERRUPT,112,24,8112870
348000,FINISH,127,12,8219772
354000,INTERRUPT,22,4,12547620
354000,INTERRUPT,124,16,10376612
354000,INTERRUPT,48,16,8531928
366000,START,22,40,12547620
367000,FINISH,9,32,12357114
367000,START,38,32,9607806
367000,START,48,32,8531928
390000,START,52,44,11313061
390000,START,94,44,8006598
411000,FINISH,63,12,11697547
411000,START,112,12,8112870
411000,START,124,12,10376612
414000,FINISH,31,36,9229031
420000,START,61,48,10424581
420000,START,36,48,8226717
424000,FINISH,70,36,9523927
424000,START,98,36,11041144
424000,START,50,36,8159611
426000,START,122,52,12537303
479000,FINISH,28,8,8253909
498000,START,58,56,9394329
498000,START,68,56,9112263
520000,FINISH,48,32,8531928
532000,FINISH,94,44,8006598
534000,INTERRUPT,38,32,9607806
539000,FINISH,33,8,11896061
539000,START,38,8,9607806
539000,START,152,8,9764753
548000,FINISH,112,12,8112870
560000,FINISH,36,48,8226717
567000,FINISH,50,36,8159611
582000,START,41,60,12265045
582000,START,101,60,8108685
584000,FINISH,52,44,11313061
584000,START,76,44,9912422
584000,START,17,44,8890203
585000,FINISH,22,40,12547620
585000,START,109,40,11329692
585000,START,19,40,8845199
596000,FINISH,124,12,10376612
596000,FINISH,61,48,10424581
596000,START,90,12,12547588
596000,START,102,48,11503522
596000,START,137,48,7991280
623000,FINISH,98,36,11041144
623000,START,78,36,12552648
653000,FINISH,122,52,12537303
653000,START,7,52,11352458
653000,START,64,52,8505899
656000,FINISH,68,56,9112263
659000,FINISH,58,56,9394329
659000,START,74,56,12533815
708000,FINISH,152,8,9764753
711000,FINISH,38,8,9607806
711000,START,66,8,9337895
711000,START,130,8,10445152
727000,FINISH,101,60,8108685
727000,FINISH,137,48,7991280
732000,START,8,64,9829585
732000,START,153,64,9214886
733000,FINISH,90,12,12547588
733000,START,29,12,12197790
733000,START,95,12,7968444
737000,FINISH,17,44,8890203
738000,FINISH,19,40,8845199
751000,FINISH,76,44,9912422
751000,START,108,44,12504656
788000,FINISH,109,40,11329692
788000,START,47,40,11975936
788000,START,104,40,8010020
798000,FINISH,64,52,8505899
799000,FINISH,41,60,12265045
799000,START,2,60,12542930
810000,FINISH,102,48,11503522
810000,START,79,48,12182656
810000,START,20,48,8145837
838000,FINISH,7,52,11352458
838000,START,39,52,11506282
838000,START,145,52,8612527
839000,FINISH,78,36,12552648
839000,START,62,36,10289301
839000,START,85,36,9168905
846000,INTERRUPT,39,52,11506282
846000,INTERRUPT,145,52,8612527
846000,INTERRUPT,29,12,12197790
846000,INTERRUPT,95,12,7968444
869000,FINISH,66,8,9337895
877000,FINISH,74,56,12533815
877000,START,29,56,12197790
877000,START,95,56,7968444
886000,FINISH,8,64,9829585
887000,FINISH,153,64,9214886
887000,START,39,64,11506282
887000,START,145,64,8612527
893000,FINISH,130,8,10445152
893000,START,113,8,11761672
893000,START,80,8,8499342
900000,START,81,68,12542848
925000,FINISH,104,40,8010020
950000,FINISH,20,48,8145837
960000,START,60,72,10261200
960000,START,120,72,10012880
970000,FINISH,108,44,12504656
970000,START,103,44,11624736
970000,START,114,44,8799665
989000,FINISH,47,40,11975936
989000,START,21,40,10766274
989000,START,156,40,8713996
993000,FINISH,85,36,9168905
1008000,INTERRUPT,60,72,10261200
1008000,INTERRUPT,120,72,10012880
1018000,FINISH,79,48,12182656
1018000,START,60,48,10261200
1018000,START,120,48,10012880
1019000,FINISH,62,36,10289301
1019000,START,46,36,9370337
1019000,START,25,36,10599782
1022000,FINISH,2,60,12542930
1022000,START,43,60,11034601
1022000,START,143,60,9207969
1024000,FINISH,95,56,7968444
1041000,FINISH,145,64,8612527
1041000,FINISH,80,8,8499342
1068000,INTERRUPT,113,8,11761672
1068000,INTERRUPT,81,68,12542848
1068000,INTERRUPT,39,64,11506282
1089000,FINISH,29,56,12197790
1089000,START,39,56,11506282
1089000,START,5,56,8918796
1092000,INTERRUPT,39,56,11506282
1092000,INTERRUPT,5,56,8918796
1119000,FINISH,114,44,8799665
1140000,FINISH,156,40,8713996
1140000,START,39,76,11506282
1140000,START,5,76,8918796
1171000,FINISH,21,40,10766274
1171000,START,81,40,12542848
1174000,FINISH,103,44,11624736
1174000,START,113,44,11761672
1177000,FINISH,46,36,9370337
1190000,FINISH,60,48,10261200
1192000,FINISH,143,60,9207969
1194000,FINISH,120,48,10012880
1194000,START,142,48,11494832
1194000,START,0,48,8727197
1194000,START,24,80,11916176
1194000,START,119,84,11126549
1194000,START,12,84,9162886
1198000,FINISH,25,36,10599782
1198000,START,100,36,9768686
1198000,START,106,36,9138707
1211000,FINISH,43,60,11034601
1211000,START,126,60,9869923
1211000,START,146,60,9273510
1302000,FINISH,5,76,8918796
1340000,FINISH,0,48,8727197
1342000,FINISH,39,76,11506282
1342000,START,11,76,11607666
1354000,FINISH,12,84,9162886
1355000,FINISH,106,36,9138707
1378000,FINISH,100,36,9768686
1378000,START,42,36,12542987
1379000,FINISH,146,60,9273510
1380000,INTERRUPT,119,84,11126549
1386000,FINISH,113,44,11761672
1386000,START,119,44,11126549
1386000,START,16,44,8986529
1388000,FINISH,126,60,9869923
1388000,START,32,60,11126248
1388000,START,14,60,8881830
1390000,FINISH,81,40,12542848
1390000,START,3,40,12547303
1393000,FINISH,24,80,11916176
1393000,START,125,80,11160080
1393000,START,105,80,9128248
1401000,FINISH,142,48,11494832
1401000,START,131,48,10931236
1401000,START,147,48,9463677
1404000,START,13,88,11440466
1410000,INTERRUPT,119,44,11126549
1410000,INTERRUPT,16,44,8986529
1416000,INTERRUPT,3,40,12547303
1536000,START,119,92,11126549
1536000,START,16,92,8986529
1538000,FINISH,14,60,8881830
1542000,FINISH,11,76,11607666
1542000,START,3,76,12547303
1550000,FINISH,105,80,9128248
1566000,INTERRUPT,131,48,10931236
1566000,INTERRUPT,147,48,9463677
1585000,FINISH,32,60,11126248
1585000,START,131,60,10931236
1585000,START,147,60,9463677
1589000,FINISH,125,80,11160080
1589000,START,91,80,9851823
1589000,START,67,80,10150364
1596000,FINISH,13,88,11440466
1596000,START,88,88,10707546
1596000,START,77,88,9582446
1597000,FINISH,42,36,12542987
1597000,START,49,36,9883644
1597000,START,86,36,10027327
1602000,INTERRUPT,49,36,9883644
1602000,INTERRUPT,86,36,10027327
1614000,INTERRUPT,119,92,11126549
1614000,INTERRUPT,16,92,8986529
1662000,START,119,96,11126549
1662000,START,16,96,8986529
1668000,START,49,100,9883644
1668000,START,86,100,10027327
1674000,START,44,104,11059932
1674000,START,75,104,9381209
1698000,INTERRUPT,49,100,9883644
1698000,INTERRUPT,86,100,10027327
1698000,INTERRUPT,91,80,9851823
1698000,INTERRUPT,67,80,10150364
1698000,INTERRUPT,3,76,12547303
1704000,START,3,108,12547303
1753000,FINISH,147,60,9463677
1763000,FINISH,77,88,9582446
1768000,FINISH,131,60,10931236
1768000,START,49,60,9883644
1768000,START,86,60,10027327
1770000,START,67,112,10150364
1770000,START,91,112,9851823
1784000,FINISH,88,88,10707546
1784000,START,134,88,11273100
1814000,FINISH,16,96,8986529
1840000,FINISH,75,104,9381209
1854000,START,92,116,12035631
1855000,FINISH,119,96,11126549
1855000,START,123,96,11619425
1860000,FINISH,44,104,11059932
1860000,START,82,104,9623738
1860000,START,96,104,10828333
1928000,FINISH,3,108,12547303
1928000,START,116,108,10181515
1928000,START,15,108,9818475
1937000,FINISH,49,60,9883644
1940000,FINISH,86,60,10027327
1940000,START,18,60,12089929
1943000,FINISH,67,112,10150364
1945000,FINISH,91,112,9851823
1945000,START,35,112,11419882
1986000,FINISH,134,88,11273100
1986000,START,51,88,12546842
2020000,FINISH,82,104,9623738
2028000,INTERRUPT,96,104,10828333
2040000,INTERRUPT,116,108,10181515
2040000,INTERRUPT,15,108,9818475
2063000,FINISH,123,96,11619425
2063000,START,15,96,9818475
2063000,START,116,96,10181515
2069000,FINISH,92,116,12035631
2069000,START,96,116,10828333
2069000,START,139,116,9300566
2112000,START,128,120,11603040
2124000,INTERRUPT,18,60,12089929
2149000,FINISH,35,112,11419882
2149000,START,18,112,12089929
2196000,START,27,124,12543491
2196000,START,157,128,11169272
2199000,FINISH,51,88,12546842
2199000,START,99,88,12098702
2202000,START,155,132,11184270
2229000,FINISH,15,96,9818475
2231000,FINISH,139,116,9300566
2241000,FINISH,116,96,10181515
2241000,START,83,96,10262333
2241000,START,10,96,9841451
2244000,INTERRUPT,99,88,12098702
2263000,FINISH,96,116,10828333
2263000,START,99,116,12098702
2292000,INTERRUPT,157,128,11169272
2292000,INTERRUPT,83,96,10262333
2292000,INTERRUPT,10,96,9841451
2304000,FINISH,128,120,11603040
2304000,START,10,120,9841451
2304000,START,83,120,10262333
2355000,FINISH,18,112,12089929
2355000,START,157,112,11169272
2394000,START,57,136,11855743
2398000,FINISH,155,132,11184270
2398000,START,141,132,11357884
2411000,FINISH,27,124,12543491
2411000,START,54,124,10809605
2424000,INTERRUPT,54,124,10809605
2424000,INTERRUPT,10,120,9841451
2424000,INTERRUPT,83,120,10262333
2448000,INTERRUPT,157,112,11169272
2482000,FINISH,99,116,12098702
2482000,START,10,116,9841451
2482000,START,83,116,10262333
2520000,START,157,140,11169272
2586000,START,54,144,10809605
2586000,START,30,148,9657794
2586000,START,97,148,10151058
2601000,FINISH,57,136,11855743
2601000,FINISH,141,132,11357884
2601000,START,151,132,12550654
2601000,START,118,136,12543115
2648000,FINISH,10,116,9841451
2656000,FINISH,83,116,10262333
2656000,START,150,116,10569581
2656000,START,26,116,9748148
2658000,INTERRUPT,151,132,12550654
2705000,FINISH,30,148,9657794
2706000,INTERRUPT,157,140,11169272
2730000,INTERRUPT,118,136,12543115
2739000,FINISH,54,144,10809605
2739000,START,157,144,11169272
2770000,FINISH,97,148,10151058
2770000,START,118,148,12543115
2778000,INTERRUPT,118,148,12543115
2802000,INTERRUPT,150,116,10569581
2802000,INTERRUPT,26,116,9748148
2934000,START,118,152,12543115
2941000,FINISH,157,144,11169272
2941000,START,26,144,9748148
2941000,START,150,144,10569581
2970000,START,151,156,12550654
3012000,INTERRUPT,118,152,12543115
3036000,INTERRUPT,151,156,12550654
3048000,INTERRUPT,26,144,9748148
3048000,INTERRUPT,150,144,10569581
3090000,START,118,160,12543115
3126000,START,26,164,9748148
3126000,START,150,164,10569581
3222000,START,151,168,12550654
3292000,FINISH,26,164,9748148
3306000,FINISH,150,164,10569581
3306000,START,55,164,11919815
3318000,FINISH,118,160,12543115
3318000,START,73,160,11582976
3378000,START,72,172,10552608
3445000,FINISH,151,168,12550654
3445000,START,89,168,12548092
3466000,FINISH,73,160,11582976
3466000,START,115,160,11363352
3512000,FINISH,55,164,11919815
3512000,START,37,164,12544293
3521000,FINISH,72,172,10552608
3521000,START,69,172,10450600
3564000,START,135,176,11069821
3642000,INTERRUPT,37,164,12544293
3657000,FINISH,89,168,12548092
3657000,START,37,168,12544293
3664000,FINISH,115,160,11363352
3664000,START,1,160,12550781
3701000,FINISH,69,172,10450600
3701000,START,136,172,10960345
3760000,FINISH,135,176,11069821
3760000,START,110,176,11339716
3874000,FINISH,37,168,12544293
3874000,START,159,168,10920575
3894000,FINISH,110,176,11339716
3894000,START,149,176,12543296
3896000,FINISH,136,172,10960345
3896000,START,148,172,12548512
3903000,FINISH,1,160,12550781
3903000,START,140,160,10731156
4070000,FINISH,159,168,10920575
4070000,START,158,168,12326376
4080000,INTERRUPT,149,176,12543296
4089000,FINISH,140,160,10731156
4089000,START,149,160,12543296
4092000,INTERRUPT,148,172,12548512
4287000,FINISH,158,168,12326376
4287000,START,148,168,12548512
4312000,FINISH,149,160,12543296
4312000,START,59,160,12546482
4502000,FINISH,148,168,12548512
4502000,START,154,168,11683882
4525000,FINISH,59,160,12546482
4525000,START,40,160,10950623
4705000,FINISH,154,168,11683882
4705000,START,34,168,11702256
4714000,FINISH,40,160,10950623
4714000,START,45,160,10878107
4902000,FINISH,34,168,11702256
4902000,FINISH,45,160,10878107
4902000,START,133,160,11415893
5086000,FINISH,133,160,11415893
