id,points
0,8727197
1,12550781
2,12542930
3,12547303
4,7503288
5,8918796
6,8672705
7,11352458
8,9829585
9,12357114
10,9841451
11,11607666
12,9162886
13,11440466
14,8881830
15,9818475
16,8986529
17,8890203
18,12089929
19,8845199
20,8145837
21,10766274
22,12547620
23,7830895
24,11916176
25,10599782
26,9748148
27,12543491
28,8253909
29,12197790
30,9657794
31,9229031
32,11126248
33,11896061
34,11702256
35,11419882
36,8226717
37,12544293
38,9607806
39,11506282
40,10950623
41,12265045
42,12542987
43,11034601
44,11059932
45,10878107
46,9370337
47,11975936
48,8531928
49,9883644
50,8159611
51,12546842
52,11313061
53,11435672
54,10809605
55,11919815
56,7904790
57,11855743
58,9394329
59,12546482
60,10261200
61,10424581
62,10289301
63,11697547
64,8505899
65,5389737
66,9337895
67,10150364
68,9112263
69,10450600
70,9523927
71,8686886
72,10552608
73,11582976
74,12533815
75,9381209
76,9912422
77,9582446
78,12552648
79,12182656
80,8499342
81,12542848
82,9623738
83,10262333
84,8715480
85,9168905
86,10027327
87,7008169
88,10707546
89,12548092
90,12547588
91,9851823
92,12035631
93,9397782
94,8006598
95,7968444
96,10828333
97,10151058
98,11041144
99,12098702
100,9768686
101,8108685
102,11503522
103,11624736
104,8010020
105,9128248
106,9138707
107,11412193
108,12504656
109,11329692
110,11339716
111,9482563
112,8112870
113,11761672
114,8799665
115,11363352
116,10181515
117,9060298
118,12543115
119,11126549
120,10012880
121,9666046
122,12537303
123,11619425
124,10376612
125,11160080
126,9869923
127,8219772
128,11603040
129,12547717
130,10445152
131,10931236
132,11200626
133,11415893
134,11273100
135,11069821
136,10960345
137,7991280
138,11140485
139,9300566
140,10731156
141,11357884
142,11494832
143,9207969
144,10794100
145,8612527
146,9273510
147,9463677
148,12548512
149,12543296
150,10569581
151,12550654
152,9764753
153,9214886
154,11683882
155,11184270
156,8713996
157,11169272
158,12326376
159,10920575
